Word 1,Word 2,Score (mean)
energy,secretary,0.069
secretary,senate,0.052
energy,laboratory,0.055
computer,laboratory,0.052
weapon,secret,0.066
FBI,fingerprint,0.022
FBI,investigation,0.028
investigation,effort,0.245
Mars,water,0.085
Mars,scientist,0.072
news,report,3.676
canyon,landscape,0.042
image,surface,0.111
discovery,space,0.081
water,seepage,0.044
sign,recess,0.096
Wednesday,news,0.061
mile,kilometer,0.097
computer,news,0.062
territory,surface,0.201
atmosphere,landscape,0.059
president,medal,0.054
war,troops,0.063
record,number,0.302
skin,eye,0.116
Japanese,American,0.196
theater,history,0.067
volunteer,motto,0.048
prejudice,recognition,0.092
decoration,valor,0.055
century,year,0.125
century,nation,0.073
delay,racism,0.041
delay,news,0.070
minister,party,0.079
peace,plan,0.069
minority,peace,0.067
attempt,peace,0.070
government,crisis,0.071
deployment,departure,0.031
deployment,withdrawal,0.073
energy,crisis,0.085
announcement,news,0.119
announcement,effort,0.076
stroke,hospital,0.063
disability,death,0.081
victim,emergency,0.060
treatment,recovery,0.082
journal,association,0.060
doctor,personnel,0.072
doctor,liability,0.062
liability,insurance,0.069
school,center,0.153
reason,hypertension,0.038
reason,criterion,0.086
hundred,percent,0.052
Harvard,Yale,0.165
hospital,infrastructure,0.044
death,row,0.082
death,inmate,0.055
lawyer,evidence,0.069
life,death,0.517
life,term,0.610
word,similarity,0.075
board,recommendation,0.059
governor,interview,0.051
OPEC,country,0.028
peace,atmosphere,0.114
peace,insurance,0.250
territory,kilometer,0.051
travel,activity,0.209
competition,price,0.081
consumer,confidence,0.061
consumer,energy,0.079
problem,airport,0.047
car,flight,0.075
credit,card,0.111
credit,information,0.145
hotel,reservation,0.064
grocery,money,0.059
registration,arrangement,0.073
arrangement,accommodation,0.101
month,hotel,0.068
type,kind,0.664
arrival,hotel,0.062
bed,closet,0.210
closet,clothes,0.071
situation,conclusion,0.111
situation,isolation,0.105
impartiality,interest,0.039
direction,combination,0.093
street,place,0.088
street,avenue,0.311
street,block,0.095
street,children,0.080
listing,proximity,0.060
listing,category,0.084
cell,phone,166666666666666675417460042534070041450744763518026525819309019251967076331484699297728562513407977340617407305480646362823753872560071762607465364131117830474731200154429300622971705632464681676561492205828466657513519839827940146679108790463357082429876464803342807139685944912032731144243233423360.000
production,hike,0.069
benchmark,index,0.048
media,trading,0.055
media,gain,0.097
dividend,payment,0.178
dividend,calculation,0.048
calculation,computation,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000
currency,market,0.073
OPEC,oil,0.017
oil,stock,0.113
announcement,production,0.079
announcement,warning,0.100
profit,warning,0.066
profit,loss,0.242
dollar,yen,0.099
dollar,buck,1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000
dollar,profit,0.065
dollar,loss,0.062
computer,software,0.061
network,hardware,0.068
phone,equipment,0.303
equipment,maker,0.098
luxury,car,0.053
five,month,0.108
report,gain,0.079
investor,earning,10887772194304857200666067315263052819055308493470737151849355363755002004847241334030667254060793185730449879148156231201335663106918088695464556833023831558803110800732636539185012192431036953679701470141215519944887276754839035055052960521634134991073824258227662526526013646874055693310686658560.000
liquid,water,14.063
baseball,season,0.063
game,victory,0.091
game,team,0.076
marathon,sprint,0.046
game,series,0.183
game,defeat,0.078
seven,series,0.073
seafood,sea,0.057
seafood,food,0.283
seafood,lobster,0.119
lobster,food,0.067
lobster,wine,0.033
food,preparation,0.123
video,archive,0.038
start,year,0.116
start,match,0.140
game,round,0.196
boxing,round,0.113
championship,tournament,0.111
fighting,defeating,0.100
line,insurance,0.128
day,summer,0.120
summer,drought,0.072
summer,nature,0.066
day,dawn,0.088
nature,environment,0.106
environment,ecology,0.035
nature,man,0.093
man,woman,0.378
man,governor,0.098
murder,manslaughter,0.106
soap,opera,0.043
opera,performance,0.050
life,lesson,0.080
focus,life,0.086
production,crew,0.068
television,film,0.189
lover,quarrel,0.064
viewer,serial,0.064
possibility,girl,0.072
population,development,0.117
morality,importance,0.174
morality,marriage,0.094
Mexico,Brazil,0.062
gender,equality,0.064
change,attitude,0.143
family,planning,0.075
opera,industry,0.050
sugar,approach,0.062
practice,institution,0.370
ministry,culture,0.048
problem,challenge,0.093
size,prominence,0.077
country,citizen,0.085
planet,people,0.078
development,issue,0.160
experience,music,0.093
music,project,0.115
glass,metal,0.124
aluminum,metal,0.170
chance,credibility,0.083
exhibit,memorabilia,0.044
concert,virtuoso,0.041
rock,jazz,0.271
museum,theater,0.069
observation,architecture,0.060
space,world,0.103
preservation,world,0.082
admission,ticket,0.071
shower,thunderstorm,0.026
shower,flood,0.083
weather,forecast,0.057
disaster,area,0.085
governor,office,0.070
architecture,century,0.048
